stockid,symbol,company_name,security_type,sector,subsector
188,BBT+E,Bb&T Corp Preferred,Equity,Preferred Stock,0
189,BBT+G,Bb&T Corporation,Equity,Preferred Stock,0
190,BBY,Best Buy Inc,Equity,Consumer Discretionary,0
191,BC,Brunswick Corp,Equity,Consumer Discretionary,0
192,BCE,B C E Inc,Equity,Communications,0
193,BCF,Blackrock Real Asset Eq,Equity,0,0
194,BCR,Bard C R Incorporated,Equity,Health Care,0
195,BCRX,BioCryst Pharmaceuticals Inc,Equity,0,0
196,BCS,Barclays Bank Plc Adr,Equity,Financials,0
197,BCS+,Barclays Bk,Equity,Preferred Stock,0
198,BCS+A,Barclays Bank,Equity,Preferred Stock,0
199,BCU,Borden Chemical,Equity,0,0
200,BCV,Bancroft Fund,Equity,Corporate Bonds,0
201,BDG,Bandag Incorporated,Equity,Consumer Discretionary,0
202,BDK,Black & Decker,Equity,Consumer Discretionary,0
203,BDX,Becton Dickinson & Co,Equity,Health Care,Medical Specialties
204,BEAV,BE Aerospace,Equity,Industrials,0
205,BECN,Beacon Roofing Supply,Equity,Industrials,0
206,BEL,Bell Atlantic Corp,Equity,Communications,0
207,BEN,Franklin Resources Inc,Equity,Financials,0
208,BFO,Bestfoods,Equity,Consumer Staples,0
209,BFT,Bally Total Fitness Hldg,Equity,Consumer Discretionary,0
210,BGC,General Cable Cp De New,Equity,Industrials,0
211,BGEN,Biogen Inc,Equity,Health Care,0
212,BGG,Briggs & Stratton Corp.,Equity,Consumer Discretionary,0
213,BGNE,Beigene Ltd,Equity,Health Care,Biotechnology
214,BGS,B&G Foods Inc,Equity,Consumer Staples,0
215,BHI,Baker Hughes Inc,Equity,Energy,0
216,BHP,Bhp Billiton PLC,Equity,Materials,0
217,BID,Sotheby's,Equity,0,0
218,BIDU,Baidu Inc Adr,Equity,Information Technology,0
219,BIIB,Biogen Idec Inc,Equity,Health Care,0
220,BJS,B J Services Co,Equity,Energy,0
221,BK,Bank of New York,Equity,Financials,0
222,BK+E,Bank Of NY Cap Trust IV,Equity,Preferred Stock,0
223,BKLN,Powershares Sr. Loan Portfolio Etf,Equity,Corporate Bonds,0
224,BKNG,Booking Holdings,Equity,Consumer Discretionary,Other Consumer Services
225,BKSO,Bank South Corp,Equity,0,0
226,BKUNA,Bankunited Finl Corp A,Equity,Financials,0
227,BLBD,Blue Bird Corp,Equity,Industrials,0
228,BLDP,Ballard Power Systems,Equity,Energy,0
229,BLK,Blackrock Inc,Equity,Financials,0
230,BLS,Bellsouth Corp,Equity,Communications,0
231,BLW,Blackrock Ltd Duration,Equity,Corporate Bonds,0
232,BLX,Banco Latinoamercano,Equity,Financials,0
233,BMET,Biomet Incorporated,Equity,Health Care,0
234,BMI,Badger Meter,Equity,Information Technology,0
235,BMO,Bank Montreal Quebec,Equity,Financials,0
236,BMTC,Bryn Mawr Bank Corp,Equity,Financials,0
237,BMY,Bristol Myers Squibb Co,Equity,Health Care,Pharmaceuticals: Major
238,BN,"Borden, Inc",Equity,0,0
239,BND,Vanguard Total Bond Market ETF,Equity,Corporate Bonds,0
240,BNDX,Vanguard Total Internatl,Equity,Multi-Sector Bond,0
